AMOUNT__C,BROKER_STATUS__C,BROKER_TIER__C,CLIENT_RISK_RATING__C,CREDIT_SCORE_BORROWER_2__C,CREDIT_SCORE__C,CURRENT_TERM_IN_MONTHS__C,EMPLOYMENT_STATUS_BORROWER_2__C,EMPLOYMENT_STATUS__C,GLOBAL_DEBT_SERVICING_RATIO__C,LOAN_ID__C,INTEREST_RATE__C,LOAN_TO_VALUE__C,MORTGAGE_POSITION__C,MORTGAGE_PURPOSE__C,OCCUPANCY_TYPE__C,PROPERTY_TYPE__C,SELF_EMPLOYED__C,STAGE__C,TOTAL_DEBT_SERVICING_RATIO__C
733364,Approved,Key Account,4,863,618,2,Self-employed,Pension,80.7,a006g000002FCWoAAO,4.73,17,1,Purchase,Rent To Own,Row,FALSE,Declined,82.5
636934,Approved,Non Key Account,4,485,746,32,Contract,Other,59,a006g000002FCWpAAO,6.24,9,3,Equity Takeout,Rental,Apartment Low Rise,FALSE,Declined,73
574562,Approved,Non Key Account,5,493,586,58,Other,Salary,32.6,a006g000002FCWqAAO,5.88,65,3,Equity Takeout,Rental,Apartment High Rise,FALSE,Declined,79.6
663830,Approved,Key Account,6,858,445,39,Hourly,Commissions,73.9,a006g000002FCWrAAO,4.81,76,1,Purchase,Rental,Semi-detached,FALSE,Approved,84
632478,Approved,Non Key Account,3,555,536,38,Commissions,Pension,56.2,a006g000002FCWsAAO,5.8,66,1,Refinance for Debt Consolidation,Rent To Own,Semi-detached,FALSE,Declined,57.4
868209,Watch List,Non Key Account,4,861,676,54,Self-employed,Contract,99.5,a006g000002FCWtAAO,4.43,26,3,Purchase Rent to Own,Owner,Single,FALSE,Declined,99.8
343225,Approved,Non Key Account,4,766,754,5,Salary,Self-employed,51.6,a006g000002FCWuAAO,7.65,27,3,Refinance,Rental,Single,TRUE,Declined,62.5
920375,Approved,Key Account,4,610,446,12,Self-employed,Hourly,99.7,a006g000002FCWvAAO,7.22,56,3,Equity Takeout,Rental,Single,FALSE,Declined,99.9
1059744,Approved,Non Key Account,5,406,567,9,Hourly,Self-employed,58.1,a006g000002FCWwAAO,9.35,30,3,Equity Takeout,Rent To Own,Apartment High Rise,TRUE,Declined,90.9
1282046,Approved,Non Key Account,3,486,776,51,Salary,Self-employed,57.2,a006g000002FCWxAAO,6.36,31,1,Equity Takeout,Rental,Apartment High Rise,TRUE,Declined,71.4
1000666,Watch List,Key Account,4,428,754,3,Commissions,Pension,58.9,a006g000002FCWyAAO,7.75,23,3,Purchase Rent to Own,Rental,Apartment High Rise,FALSE,Declined,97.2
373831,Approved,Key Account,3,724,735,24,Commissions,Pension,62.2,a006g000002FCWzAAO,9.78,11,2,Purchase,Rental,Apartment Low Rise,FALSE,Approved,97.5
1250257,Approved,Key Account,4,808,730,27,Hourly,Hourly,36.8,a006g000002FCX0AAO,5.95,22,1,Equity Takeout,Rent To Own,Semi-detached,FALSE,Declined,93.6
766151,Approved,Non Key Account,4,532,442,35,Pension,Commissions,10.1,a006g000002FCX1AAO,8.24,75,3,Purchase,Owner,Apartment Low Rise,FALSE,Declined,46.4
1248488,Approved,Key Account,4,476,767,60,Commissions,Hourly,11.9,a006g000002FCX2AAO,8.95,40,3,Refinance,Owner,Apartment High Rise,FALSE,Declined,91.7
272805,Approved,Key Account,3,750,592,30,Hourly,Pension,88.1,a006g000002FCX3AAO,8.76,11,3,Purchase Rent to Own,Owner,Single,FALSE,Approved,96.8
356887,Approved,Key Account,4,515,605,55,Salary,Salary,6,a006g000002FCX4AAO,7.15,27,3,Equity Takeout,Rental,Row,FALSE,Declined,77.7
710965,Approved,Key Account,3,747,442,54,Pension,Hourly,54.6,a006g000002FCX5AAO,7.98,35,3,Purchase Rent to Own,Rental,Apartment Low Rise,FALSE,Declined,61.9
822942,Approved,Non Key Account,5,446,531,50,Commissions,Contract,69.8,a006g000002FCX6AAO,6.79,9,2,Refinance,Rental,Row,FALSE,Declined,86.3
889106,Deactivated,Key Account,2,422,858,55,Contract,Commissions,82.7,a006g000002FCX7AAO,4.17,40,1,Purchase Rent to Own,Owner,Apartment Low Rise,FALSE,Declined,87.7
934932,Deactivated,Non Key Account,2,730,742,53,Other,Other,83.9,a006g000002FCX8AAO,9.52,38,3,Equity Takeout,Rental,Single,FALSE,Declined,98.6
422571,Approved,Non Key Account,5,743,493,41,Self-employed,Hourly,56.3,a006g000002FCX9AAO,8.93,67,1,Purchase Rent to Own,Rent To Own,Row,FALSE,Declined,65.6
610548,Approved,Key Account,3,602,695,38,Other,Pension,83.7,a006g000002FCXAAA4,7.19,75,2,Purchase Rent to Own,Owner,Single,FALSE,Declined,87.2
866477,Approved,Non Key Account,5,808,548,40,Pension,Hourly,58.8,a006g000002FCXBAA4,8.53,79,2,Refinance for Debt Consolidation,Rental,Semi-detached,FALSE,Approved,66.7
806622,Watch List,Key Account,4,601,543,15,Commissions,Pension,79,a006g000002FCXCAA4,8.55,80,2,Purchase,Owner,Semi-detached,FALSE,Approved,82.6
1243497,Watch List,Non Key Account,4,448,654,0,Other,Salary,36.2,a006g000002FCXDAA4,4.88,60,1,Refinance for Debt Consolidation,Owner,Apartment High Rise,FALSE,Declined,93.5
1492948,Approved,Key Account,2,539,777,35,Other,Contract,16.7,a006g000002FCXEAA4,5.41,80,1,Purchase,Rent To Own,Semi-detached,FALSE,Declined,64.3
759956,Watch List,Key Account,4,809,465,0,Self-employed,Other,39.4,a006g000002FCXFAA4,7.96,43,2,Refinance for Debt Consolidation,Owner,Row,FALSE,Approved,56.4
579373,Deactivated,Key Account,2,800,782,30,Contract,Other,9.1,a006g000002FCXGAA4,6.92,54,2,Equity Takeout,Owner,Row,FALSE,Approved,33.1
912276,Deactivated,Non Key Account,3,761,807,20,Contract,Contract,54.4,a006g000002FCXHAA4,8.28,14,3,Purchase,Rent To Own,Apartment High Rise,FALSE,Declined,58.1
110009,Approved,Non Key Account,2,673,671,0,Contract,Other,69.5,a006g000002FCXIAA4,7.57,72,3,Purchase Rent to Own,Owner,Row,FALSE,Approved,72.1
536114,Deactivated,Key Account,3,893,406,27,Commissions,Other,19.3,a006g000002FCXJAA4,4.07,79,2,Purchase,Owner,Semi-detached,FALSE,Declined,65.1
1489150,Approved,Key Account,3,442,496,32,Pension,Pension,34.2,a006g000002FCXKAA4,9.74,67,1,Refinance,Rental,Apartment High Rise,FALSE,Approved,67.6
726073,Approved,Non Key Account,4,591,657,32,Commissions,Hourly,53.3,a006g000002FCXLAA4,8.05,19,1,Refinance for Debt Consolidation,Owner,Semi-detached,FALSE,Approved,89.2
737071,Watch List,Non Key Account,4,699,776,15,Other,Salary,35.5,a006g000002FCXMAA4,6.1,61,2,Refinance for Debt Consolidation,Rent To Own,Row,FALSE,Declined,91.9
422171,Watch List,Key Account,5,532,713,14,Self-employed,Commissions,83.3,a006g000002FCXNAA4,4.49,12,1,Purchase,Rent To Own,Single,FALSE,Declined,98.2
206488,Approved,Key Account,3,762,646,14,Self-employed,Salary,14.1,a006g000002FCXOAA4,9.95,41,3,Equity Takeout,Rent To Own,Semi-detached,FALSE,Declined,36.5
422756,Approved,Non Key Account,2,608,785,3,Salary,Self-employed,69.8,a006g000002FCXPAA4,5.55,18,2,Purchase Rent to Own,Rent To Own,Apartment Low Rise,TRUE,Declined,83.7
747755,Watch List,Key Account,3,735,441,42,Other,Commissions,38.7,a006g000002FCXQAA4,6.4,75,2,Purchase,Rent To Own,Single,FALSE,Declined,55.6
728518,Watch List,Key Account,2,480,495,45,Other,Self-employed,91.4,a006g000002FCXRAA4,9.69,41,3,Purchase Rent to Own,Rental,Row,TRUE,Approved,92.4
177734,Watch List,Key Account,3,562,555,1,Contract,Commissions,56.8,a006g000002FCXSAA4,5.23,50,2,Purchase,Owner,Single,FALSE,Declined,68.6
1369778,Approved,Non Key Account,4,606,416,56,Self-employed,Hourly,26,a006g000002FCXTAA4,4.54,41,3,Equity Takeout,Owner,Semi-detached,FALSE,Declined,92.1
678157,Watch List,Non Key Account,4,488,554,5,Pension,Pension,12.4,a006g000002FCXUAA4,3.99,31,1,Equity Takeout,Rental,Single,FALSE,Declined,88.4
924460,Watch List,Key Account,4,624,521,36,Commissions,Salary,57.2,a006g000002FCXVAA4,4.69,10,3,Purchase,Rental,Semi-detached,FALSE,Declined,67.4
1177701,Approved,Non Key Account,4,581,755,19,Contract,Pension,4.1,a006g000002FCXWAA4,9.77,53,3,Refinance for Debt Consolidation,Rent To Own,Single,FALSE,Approved,66.1
1236811,Approved,Key Account,3,564,713,11,Self-employed,Commissions,69.6,a006g000002FCXXAA4,7.63,26,2,Equity Takeout,Owner,Row,FALSE,Declined,73.1
1321284,Approved,Key Account,4,900,714,0,Hourly,Contract,63.8,a006g000002FCXYAA4,5.36,20,1,Purchase Rent to Own,Owner,Row,FALSE,Approved,83.5
320985,Approved,Non Key Account,2,791,878,34,Hourly,Hourly,66.5,a006g000002FCXZAA4,4.32,26,1,Purchase Rent to Own,Rental,Apartment Low Rise,FALSE,Declined,75.3
222484,Watch List,Non Key Account,3,571,507,54,Commissions,Self-employed,13.4,a006g000002FCXaAAO,4.56,34,3,Equity Takeout,Rental,Semi-detached,TRUE,Declined,35.9
1037520,Deactivated,Non Key Account,3,567,473,11,Hourly,Commissions,36.5,a006g000002FCXbAAO,8.44,65,1,Purchase Rent to Own,Rent To Own,Semi-detached,FALSE,Approved,73.8
162442,Deactivated,Non Key Account,5,872,564,33,Commissions,Hourly,29.2,a006g000002FCXcAAO,7.45,68,2,Purchase,Rent To Own,Single,FALSE,Declined,97.5
807191,Watch List,Non Key Account,3,489,612,2,Hourly,Contract,5.1,a006g000002FCXdAAO,4.48,40,3,Refinance,Rental,Single,FALSE,Declined,89.2
1232316,Approved,Non Key Account,2,470,876,38,Other,Self-employed,35.3,a006g000002FCXeAAO,5.91,79,2,Refinance for Debt Consolidation,Owner,Semi-detached,TRUE,Declined,73.2
1452991,Approved,Non Key Account,5,402,818,58,Commissions,Hourly,76.5,a006g000002FCXfAAO,6.04,33,2,Refinance for Debt Consolidation,Owner,Apartment Low Rise,FALSE,Approved,89.4
216894,Approved,Key Account,3,769,488,11,Other,Other,68.4,a006g000002FCXgAAO,4.5,67,3,Refinance,Rental,Apartment Low Rise,FALSE,Declined,78.3
598454,Approved,Key Account,4,717,740,57,Hourly,Commissions,90.8,a006g000002FCXhAAO,7.31,57,1,Equity Takeout,Owner,Semi-detached,FALSE,Declined,92.6
1244336,Approved,Non Key Account,4,700,869,56,Salary,Commissions,49.7,a006g000002FCXiAAO,5.62,72,1,Purchase,Rent To Own,Apartment High Rise,FALSE,Declined,75.9
695214,Watch List,Non Key Account,2,762,499,60,Hourly,Pension,93.4,a006g000002FCXjAAO,9.38,41,2,Refinance for Debt Consolidation,Owner,Apartment High Rise,FALSE,Declined,96.6
150391,Approved,Key Account,3,554,481,41,Commissions,Self-employed,61.6,a006g000002FCXkAAO,4.97,24,2,Purchase,Owner,Apartment Low Rise,TRUE,Declined,78.3
1484781,Approved,Key Account,4,570,566,29,Commissions,Salary,33.6,a006g000002FCXlAAO,6.32,73,3,Purchase Rent to Own,Rental,Semi-detached,FALSE,Declined,82.3
1153881,Approved,Key Account,3,743,776,47,Pension,Self-employed,23.8,a006g000002FCXmAAO,8.54,32,1,Equity Takeout,Owner,Apartment High Rise,TRUE,Declined,61.6
433722,Deactivated,Non Key Account,2,601,646,30,Commissions,Pension,20.4,a006g000002FCXnAAO,6.36,11,3,Refinance for Debt Consolidation,Rental,Single,FALSE,Declined,37.4
851323,Approved,Key Account,5,499,645,28,Self-employed,Hourly,74.4,a006g000002FCXoAAO,4.07,43,1,Refinance,Rental,Apartment High Rise,FALSE,Declined,92.3
416722,Approved,Non Key Account,3,534,438,22,Self-employed,Other,80.9,a006g000002FCXpAAO,6.17,75,2,Refinance for Debt Consolidation,Rental,Single,FALSE,Declined,84.1
310309,Approved,Non Key Account,6,774,470,12,Hourly,Self-employed,73.9,a006g000002FCXqAAO,4.73,38,2,Equity Takeout,Rent To Own,Apartment Low Rise,TRUE,Declined,85
491803,Watch List,Key Account,3,855,832,50,Contract,Hourly,74.6,a006g000002FCXrAAO,9.89,25,1,Refinance,Rent To Own,Apartment Low Rise,FALSE,Approved,99
980030,Approved,Key Account,2,581,886,49,Commissions,Commissions,26.4,a006g000002FCXsAAO,8.36,68,1,Refinance,Rental,Single,FALSE,Approved,69.4
1034078,Approved,Non Key Account,4,430,665,38,Salary,Other,38.1,a006g000002FCXtAAO,6.7,37,1,Refinance,Rental,Apartment High Rise,FALSE,Declined,44.6
209632,Watch List,Non Key Account,1,734,555,22,Hourly,Pension,69.3,a006g000002FCXuAAO,7.63,69,1,Equity Takeout,Rental,Single,FALSE,Declined,75.8
1120943,Deactivated,Key Account,3,783,548,8,Other,Salary,5.1,a006g000002FCXvAAO,4.75,37,2,Equity Takeout,Owner,Apartment High Rise,FALSE,Declined,17.2
